name,slug,nationality,countryCode,club,league,position,positionGroup,birthDate,heightCm,preferredFoot,active,popularity,imageUrl,clubLogoUrl
Mateo Fernandez,mateo-fernandez,Spain,ES,Leeds United FC,PREMIER_LEAGUE,Forward,FORWARD,2003-10-19,,,true,50,,https://crests.football-data.org/341.png
David Button,david-button,England,GB,Ipswich Town FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1989-02-27,,,true,50,,https://crests.football-data.org/349.png
Christian Walton,christian-walton,England,GB,Ipswich Town FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1995-11-09,,,true,50,,https://crests.football-data.org/349.png
Alex Palmer,alex-palmer,England,GB,Ipswich Town FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1996-08-10,,,true,50,,https://crests.football-data.org/349.png
Kjell Scherpen,kjell-scherpen,Netherlands,NL,Ipswich Town FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2000-01-23,,,true,50,,https://crests.football-data.org/349.png
Kayne van Oevelen,kayne-van-oevelen,Netherlands,NL,Ipswich Town FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2003-08-08,,,true,50,,https://crests.football-data.org/349.png
Darnell Furlong,darnell-furlong,England,GB,Ipswich Town FC,PREMIER_LEAGUE,Defender,DEFENDER,1995-10-31,,,true,50,,https://crests.football-data.org/349.png
Ben Johnson,ben-johnson,England,GB,Ipswich Town FC,PREMIER_LEAGUE,Defender,DEFENDER,2000-01-24,,,true,50,,https://crests.football-data.org/349.png
Issa Diop,issa-diop-1,France,FR,Ipswich Town FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-01-09,,,true,50,,https://crests.football-data.org/349.png
Dara O'Shea,dara-o-shea,Ireland,IE,Ipswich Town FC,PREMIER_LEAGUE,Defender,DEFENDER,1999-03-04,,,true,50,,https://crests.football-data.org/349.png
Cédric Kipré,cedric-kipre,Ivory Coast,CI,Ipswich Town FC,PREMIER_LEAGUE,Defender,DEFENDER,1996-12-09,,,true,50,,https://crests.football-data.org/349.png
Leif Davis,leif-davis,England,GB,Ipswich Town FC,PREMIER_LEAGUE,Defender,DEFENDER,1999-12-31,,,true,50,,https://crests.football-data.org/349.png
Jacob Greaves,jacob-greaves,England,GB,Ipswich Town FC,PREMIER_LEAGUE,Defender,DEFENDER,2000-09-12,,,true,50,,https://crests.football-data.org/349.png
Elkan Baggott,elkan-baggott,Indonesia,ID,Ipswich Town FC,PREMIER_LEAGUE,Defender,DEFENDER,2002-10-23,,,true,50,,https://crests.football-data.org/349.png
Harry Clarke,harry-clarke,England,GB,Ipswich Town FC,PREMIER_LEAGUE,Defender,DEFENDER,2001-03-02,,,true,50,,https://crests.football-data.org/349.png
Abdoul Ouattara,abdoul-ouattara,Ivory Coast,CI,Ipswich Town FC,PREMIER_LEAGUE,Defender,DEFENDER,2005-10-22,,,true,50,,https://crests.football-data.org/349.png
Wes Burns,wes-burns,Wales,GB,Ipswich Town FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1994-11-23,,,true,50,,https://crests.football-data.org/349.png
Samuel Szmodics,samuel-szmodics,Ireland,IE,Ipswich Town FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1995-09-24,,,true,50,,https://crests.football-data.org/349.png
Jack Taylor,jack-taylor,Ireland,IE,Ipswich Town FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1998-06-23,,,true,50,,https://crests.football-data.org/349.png
Azor Matusiwa,azor-matusiwa,Netherlands,NL,Ipswich Town FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1998-04-28,,,true,50,,https://crests.football-data.org/349.png
Exequiel Palacios,exequiel-palacios,Argentina,AR,Ipswich Town FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1998-10-05,,,true,50,,https://crests.football-data.org/349.png
Saša Lukić,sasa-lukic-1,Serbia,RS,Ipswich Town FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1996-08-13,,,true,50,,https://crests.football-data.org/349.png
Florentino,florentino,Portugal,PT,Ipswich Town FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1999-08-19,,,true,50,,https://crests.football-data.org/349.png
Marcelino Núñez,marcelino-nunez,Chile,CL,Ipswich Town FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2000-03-01,,,true,50,,https://crests.football-data.org/349.png
Anis Mehmeti,anis-mehmeti,Albania,AL,Ipswich Town FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2001-01-09,,,true,50,,https://crests.football-data.org/349.png
Julio Enciso,julio-enciso,Paraguay,PY,Ipswich Town FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2004-01-23,,,true,50,,https://crests.football-data.org/349.png
Cameron Humphreys,cameron-humphreys,England,GB,Ipswich Town FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2003-10-30,,,true,50,,https://crests.football-data.org/349.png
Kasey McAteer,kasey-mcateer,Ireland,IE,Ipswich Town FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2001-11-22,,,true,50,,https://crests.football-data.org/349.png
Jack Clarke,jack-clarke,England,GB,Ipswich Town FC,PREMIER_LEAGUE,Forward,FORWARD,2000-11-23,,,true,50,,https://crests.football-data.org/349.png
Chiedozie Ogbene,chiedozie-ogbene,Ireland,IE,Ipswich Town FC,PREMIER_LEAGUE,Forward,FORWARD,1997-05-01,,,true,50,,https://crests.football-data.org/349.png
Chuba Akpom,chuba-akpom,England,GB,Ipswich Town FC,PREMIER_LEAGUE,Forward,FORWARD,1995-10-09,,,true,50,,https://crests.football-data.org/349.png
George Hirst,george-hirst,Scotland,GB,Ipswich Town FC,PREMIER_LEAGUE,Forward,FORWARD,1999-02-15,,,true,50,,https://crests.football-data.org/349.png
Daizen Maeda,daizen-maeda,Japan,JP,Ipswich Town FC,PREMIER_LEAGUE,Forward,FORWARD,1997-10-20,,,true,50,,https://crests.football-data.org/349.png
Jaden Philogene-Bidace,jaden-philogene-bidace,England,GB,Ipswich Town FC,PREMIER_LEAGUE,Forward,FORWARD,2002-02-08,,,true,50,,https://crests.football-data.org/349.png
Emersonn,emersonn,Brazil,BR,Ipswich Town FC,PREMIER_LEAGUE,Forward,FORWARD,2004-07-16,,,true,50,,https://crests.football-data.org/349.png
Ali Al-Hamadi,ali-al-hamadi,Iraq,IQ,Ipswich Town FC,PREMIER_LEAGUE,Forward,FORWARD,2002-03-01,,,true,50,,https://crests.football-data.org/349.png
Abdul Issahaku,abdul-issahaku,Ghana,GH,Ipswich Town FC,PREMIER_LEAGUE,Forward,FORWARD,2004-03-08,,,true,50,,https://crests.football-data.org/349.png
Sindre Egeli,sindre-egeli,Norway,NO,Ipswich Town FC,PREMIER_LEAGUE,Forward,FORWARD,2006-06-21,,,true,50,,https://crests.football-data.org/349.png
John,john,Brazil,BR,Nottingham Forest FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1996-02-13,,,true,50,,https://crests.football-data.org/351.png
Matz Sels,matz-sels,Belgium,BE,Nottingham Forest FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1992-02-26,,,true,50,,https://crests.football-data.org/351.png
Steven Benda,steven-benda,Germany,DE,Nottingham Forest FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1998-10-01,,,true,50,,https://crests.football-data.org/351.png
Nikola Milenković,nikola-milenkovic,Serbia,RS,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-10-12,,,true,50,,https://crests.football-data.org/351.png
Ola Aina,ola-aina,Nigeria,NG,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,1996-10-08,,,true,50,,https://crests.football-data.org/351.png
Omar Richards,omar-richards,England,GB,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,1998-02-15,,,true,50,,https://crests.football-data.org/351.png
Morato,morato,Brazil,BR,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,2001-06-30,,,true,50,,https://crests.football-data.org/351.png
Neco Williams,neco-williams,Wales,GB,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,2001-04-13,,,true,50,,https://crests.football-data.org/351.png
Luca Netz,luca-netz,Germany,DE,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,2003-05-15,,,true,50,,https://crests.football-data.org/351.png
Jair Paula,jair-paula,Brazil,BR,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,2005-03-07,,,true,50,,https://crests.football-data.org/351.png
Ousmane Diomande,ousmane-diomande,Cote d'Ivoire,XX,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,2004-11-16,,,true,50,,https://crests.football-data.org/351.png
Nicolò Savona,nicolo-savona,Italy,IT,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,2003-03-19,,,true,50,,https://crests.football-data.org/351.png
Murillo,murillo,Brazil,BR,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,2002-07-04,,,true,50,,https://crests.football-data.org/351.png
Zach Abbott,zach-abbott,England,GB,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,2006-05-13,,,true,50,,https://crests.football-data.org/351.png
Tyler Bindon,tyler-bindon,New Zealand,NZ,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,2005-01-27,,,true,50,,https://crests.football-data.org/351.png
Eric da Silva Moreira,eric-da-silva-moreira,Germany,DE,Nottingham Forest FC,PREMIER_LEAGUE,Defender,DEFENDER,2006-05-03,,,true,50,,https://crests.football-data.org/351.png
Morgan Gibbs-White,morgan-gibbs-white,England,GB,Nottingham Forest FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2000-01-27,,,true,50,,https://crests.football-data.org/351.png
Ryan Yates,ryan-yates,England,GB,Nottingham Forest FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1997-11-21,,,true,50,,https://crests.football-data.org/351.png
Ibrahim Sangaré,ibrahim-sangare,Ivory Coast,CI,Nottingham Forest FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1997-12-02,,,true,50,,https://crests.football-data.org/351.png
Xaver Schlager,xaver-schlager,Austria,AT,Nottingham Forest FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1997-09-28,,,true,50,,https://crests.football-data.org/351.png
Nicolás Domínguez,nicolas-dominguez,Argentina,AR,Nottingham Forest FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1998-06-28,,,true,50,,https://crests.football-data.org/351.png
James McAtee,james-mcatee,England,GB,Nottingham Forest FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2002-10-18,,,true,50,,https://crests.football-data.org/351.png
Callum Hudson-Odoi,callum-hudson-odoi,England,GB,Nottingham Forest FC,PREMIER_LEAGUE,Forward,FORWARD,2000-11-07,,,true,50,,https://crests.football-data.org/351.png
Chris Wood,chris-wood,New Zealand,NZ,Nottingham Forest FC,PREMIER_LEAGUE,Forward,FORWARD,1991-12-07,,,true,50,,https://crests.football-data.org/351.png
Taiwo Awoniyi,taiwo-awoniyi,Nigeria,NG,Nottingham Forest FC,PREMIER_LEAGUE,Forward,FORWARD,1997-08-12,,,true,50,,https://crests.football-data.org/351.png
Dan Ndoye,dan-ndoye,Switzerland,CH,Nottingham Forest FC,PREMIER_LEAGUE,Forward,FORWARD,2000-10-25,,,true,50,,https://crests.football-data.org/351.png
Arnaud Kalimuendo,arnaud-kalimuendo,France,FR,Nottingham Forest FC,PREMIER_LEAGUE,Forward,FORWARD,2002-01-20,,,true,50,,https://crests.football-data.org/351.png
Liam Delap,liam-delap-1,England,GB,Nottingham Forest FC,PREMIER_LEAGUE,Forward,FORWARD,2003-02-08,,,true,50,,https://crests.football-data.org/351.png
Dilane Bakwa,dilane-bakwa,France,FR,Nottingham Forest FC,PREMIER_LEAGUE,Forward,FORWARD,2002-08-26,,,true,50,,https://crests.football-data.org/351.png
Omari Hutchinson,omari-hutchinson,England,GB,Nottingham Forest FC,PREMIER_LEAGUE,Forward,FORWARD,2003-10-29,,,true,50,,https://crests.football-data.org/351.png
Igor Jesus,igor-jesus,Brazil,BR,Nottingham Forest FC,PREMIER_LEAGUE,Forward,FORWARD,2001-02-25,,,true,50,,https://crests.football-data.org/351.png
Dean Henderson,dean-henderson,England,GB,Crystal Palace FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1997-03-12,,,true,50,,https://crests.football-data.org/354.png
Remi Matthews,remi-matthews,England,GB,Crystal Palace FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1994-02-10,,,true,50,,https://crests.football-data.org/354.png
Walter Benítez,walter-benitez,Argentina,AR,Crystal Palace FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1993-03-19,,,true,50,,https://crests.football-data.org/354.png
Owen Goodman,owen-goodman,Canada,CA,Crystal Palace FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2003-11-27,,,true,50,,https://crests.football-data.org/354.png
Axel Disasi,axel-disasi-1,France,FR,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,1998-03-11,,,true,50,,https://crests.football-data.org/354.png
Nathaniel Clyne,nathaniel-clyne,England,GB,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,1991-04-05,,,true,50,,https://crests.football-data.org/354.png
Takehiro Tomiyasu,takehiro-tomiyasu,Japan,JP,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,1998-11-05,,,true,50,,https://crests.football-data.org/354.png
Borna Sosa,borna-sosa,Croatia,HR,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,1998-01-21,,,true,50,,https://crests.football-data.org/354.png
Daniel Muñoz,daniel-munoz,Colombia,CO,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,1996-05-26,,,true,50,,https://crests.football-data.org/354.png
Maxence Lacroix,maxence-lacroix-1,France,FR,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,2000-04-06,,,true,50,,https://crests.football-data.org/354.png
Chris Richards,chris-richards,USA,US,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,2000-03-28,,,true,50,,https://crests.football-data.org/354.png
Tyrick Mitchell,tyrick-mitchell,England,GB,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,1999-09-01,,,true,50,,https://crests.football-data.org/354.png
Óscar Mingueza,oscar-mingueza,Spain,ES,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,1999-05-13,,,true,50,,https://crests.football-data.org/354.png
Chadi Riad,chadi-riad,Morocco,MA,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,2003-06-17,,,true,50,,https://crests.football-data.org/354.png
Anan Khalaili,anan-khalaili,Israel,IL,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,2004-09-03,,,true,50,,https://crests.football-data.org/354.png
Jaydee Canvot,jaydee-canvot,France,FR,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,2006-07-29,,,true,50,,https://crests.football-data.org/354.png
Caleb Kporha,caleb-kporha,England,GB,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,2006-07-15,,,true,50,,https://crests.football-data.org/354.png
Rio Cardines,rio-cardines,Trinidad & Tobago,XX,Crystal Palace FC,PREMIER_LEAGUE,Defender,DEFENDER,2006-01-07,,,true,50,,https://crests.football-data.org/354.png
Jefferson Lerma,jefferson-lerma,Colombia,CO,Crystal Palace FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1994-10-25,,,true,50,,https://crests.football-data.org/354.png
Daichi Kamada,daichi-kamada,Japan,JP,Crystal Palace FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1996-08-05,,,true,50,,https://crests.football-data.org/354.png
Will Hughes,will-hughes,England,GB,Crystal Palace FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1995-04-17,,,true,50,,https://crests.football-data.org/354.png
Cheick Doucouré,cheick-doucoure,Mali,ML,Crystal Palace FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2000-01-08,,,true,50,,https://crests.football-data.org/354.png
Justin Devenny,justin-devenny,Northern Ireland,GB,Crystal Palace FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2003-10-11,,,true,50,,https://crests.football-data.org/354.png
David Ozoh,david-ozoh,England,GB,Crystal Palace FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2002-01-18,,,true,50,,https://crests.football-data.org/354.png
Adam Wharton,adam-wharton,England,GB,Crystal Palace FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2004-06-02,,,true,50,,https://crests.football-data.org/354.png
Jean-Philippe Mateta,jean-philippe-mateta,France,FR,Crystal Palace FC,PREMIER_LEAGUE,Forward,FORWARD,1997-06-28,,,true,50,,https://crests.football-data.org/354.png
Ismaïla Sarr,ismaila-sarr,Senegal,SN,Crystal Palace FC,PREMIER_LEAGUE,Forward,FORWARD,1998-02-25,,,true,50,,https://crests.football-data.org/354.png
Eddie Nketiah,eddie-nketiah,England,GB,Crystal Palace FC,PREMIER_LEAGUE,Forward,FORWARD,1999-05-30,,,true,50,,https://crests.football-data.org/354.png
Dwight McNeil,dwight-mcneil-1,England,GB,Crystal Palace FC,PREMIER_LEAGUE,Forward,FORWARD,1999-11-22,,,true,50,,https://crests.football-data.org/354.png
Brennan Johnson,brennan-johnson-1,Wales,GB,Crystal Palace FC,PREMIER_LEAGUE,Forward,FORWARD,2001-05-23,,,true,50,,https://crests.football-data.org/354.png
Evann Guessand,evann-guessand-1,Ivory Coast,CI,Crystal Palace FC,PREMIER_LEAGUE,Forward,FORWARD,2001-07-01,,,true,50,,https://crests.football-data.org/354.png
Yeremi Pino,yeremi-pino,Spain,ES,Crystal Palace FC,PREMIER_LEAGUE,Forward,FORWARD,2002-10-20,,,true,50,,https://crests.football-data.org/354.png
Matheus Franca,matheus-franca,Brazil,BR,Crystal Palace FC,PREMIER_LEAGUE,Forward,FORWARD,2004-04-01,,,true,50,,https://crests.football-data.org/354.png
Jesurun Rak-Sakyi,jesurun-rak-sakyi,England,GB,Crystal Palace FC,PREMIER_LEAGUE,Forward,FORWARD,2002-10-05,,,true,50,,https://crests.football-data.org/354.png
Romain Esse,romain-esse,England,GB,Crystal Palace FC,PREMIER_LEAGUE,Forward,FORWARD,1999-02-06,,,true,50,,https://crests.football-data.org/354.png
Jørgen Strand Larsen,j-rgen-strand-larsen,Norway,NO,Crystal Palace FC,PREMIER_LEAGUE,Forward,FORWARD,2000-02-06,,,true,50,,https://crests.football-data.org/354.png
Zavier Gozo,zavier-gozo,USA,US,Crystal Palace FC,PREMIER_LEAGUE,Forward,FORWARD,2007-03-22,,,true,50,,https://crests.football-data.org/354.png
Jason Steele,jason-steele,England,GB,Brighton & Hove Albion FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1990-08-18,,,true,50,,https://crests.football-data.org/397.png
Bart Verbruggen,bart-verbruggen,Netherlands,NL,Brighton & Hove Albion FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2002-08-18,,,true,50,,https://crests.football-data.org/397.png
Thomas McGill,thomas-mcgill,England,GB,Brighton & Hove Albion FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2000-03-25,,,true,50,,https://crests.football-data.org/397.png
Carl Rushworth,carl-rushworth,England,GB,Brighton & Hove Albion FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2001-07-02,,,true,50,,https://crests.football-data.org/397.png
James Beadle,james-beadle,England,GB,Brighton & Hove Albion FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2004-07-16,,,true,50,,https://crests.football-data.org/397.png
Olivier Boscagli,olivier-boscagli,France,FR,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-11-18,,,true,50,,https://crests.football-data.org/397.png
Pascal Struijk,pascal-struijk,Netherlands,NL,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,1999-08-11,,,true,50,,https://crests.football-data.org/397.png
Lewis Dunk,lewis-dunk,England,GB,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,1991-11-21,,,true,50,,https://crests.football-data.org/397.png
Ferdi Kadıoğlu,ferdi-kad-oglu,Turkey,TR,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,1999-10-07,,,true,50,,https://crests.football-data.org/397.png
Igor Julio,igor-julio,Brazil,BR,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,1998-02-07,,,true,50,,https://crests.football-data.org/397.png
Michael Svoboda,michael-svoboda,Austria,AT,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,1998-10-15,,,true,50,,https://crests.football-data.org/397.png
Mats Wieffer,mats-wieffer,Netherlands,NL,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,1999-11-16,,,true,50,,https://crests.football-data.org/397.png
Maxim De Cuyper,maxim-de-cuyper,Belgium,BE,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,2000-12-22,,,true,50,,https://crests.football-data.org/397.png
Jaouen Hadjam,jaouen-hadjam,Algeria,DZ,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,2003-03-26,,,true,50,,https://crests.football-data.org/397.png
Eiran Cashin,eiran-cashin,Ireland,IE,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,2001-11-09,,,true,50,,https://crests.football-data.org/397.png
Diego Coppola,diego-coppola,Italy,IT,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,2003-12-28,,,true,50,,https://crests.football-data.org/397.png
Costinha,costinha,Portugal,PT,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,2000-03-26,,,true,50,,https://crests.football-data.org/397.png
Luka Vušković,luka-vuskovic,Croatia,HR,Brighton & Hove Albion FC,PREMIER_LEAGUE,Defender,DEFENDER,2007-02-24,,,true,50,,https://crests.football-data.org/397.png
Matt O'Riley,matt-o-riley,Denmark,DK,Brighton & Hove Albion FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2000-11-21,,,true,50,,https://crests.football-data.org/397.png
Pascal Groß,pascal-gro,Germany,DE,Brighton & Hove Albion FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1991-06-15,,,true,50,,https://crests.football-data.org/397.png
Yasin Ayari,yasin-ayari,Sweden,SE,Brighton & Hove Albion FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2003-10-06,,,true,50,,https://crests.football-data.org/397.png
Carlos Baleba,carlos-baleba-1,Cameroon,CM,Brighton & Hove Albion FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2004-01-03,,,true,50,,https://crests.football-data.org/397.png
Diego Gómez,diego-gomez,Paraguay,PY,Brighton & Hove Albion FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2003-03-27,,,true,50,,https://crests.football-data.org/397.png
Facundo Buonanotte,facundo-buonanotte,Argentina,AR,Brighton & Hove Albion FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2004-12-23,,,true,50,,https://crests.football-data.org/397.png
Jack Hinshelwood,jack-hinshelwood,England,GB,Brighton & Hove Albion FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2005-04-11,,,true,50,,https://crests.football-data.org/397.png
Malick Yalcouyé,malick-yalcouye,Mali,ML,Brighton & Hove Albion FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2005-11-18,,,true,50,,https://crests.football-data.org/397.png
Danny Welbeck,danny-welbeck-1,England,GB,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,1990-11-26,,,true,50,,https://crests.football-data.org/397.png
Georginio Rutter,georginio-rutter,France,FR,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,2002-04-20,,,true,50,,https://crests.football-data.org/397.png
Evan Ferguson,evan-ferguson,Ireland,IE,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,2004-10-19,,,true,50,,https://crests.football-data.org/397.png
Kaoru Mitoma,kaoru-mitoma,Japan,JP,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,1997-05-20,,,true,50,,https://crests.football-data.org/397.png
Yankubah Minteh,yankubah-minteh,Gambia,GM,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,2004-07-22,,,true,50,,https://crests.football-data.org/397.png
Tom Watson,tom-watson,England,GB,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,2006-04-08,,,true,50,,https://crests.football-data.org/397.png
Amario Cozier-Duberry,amario-cozier-duberry,England,GB,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,2005-05-29,,,true,50,,https://crests.football-data.org/397.png
Ibrahim Osman,ibrahim-osman,Ghana,GH,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,2004-12-14,,,true,50,,https://crests.football-data.org/397.png
Stefanos Tzimas,stefanos-tzimas,Greece,GR,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,2006-01-06,,,true,50,,https://crests.football-data.org/397.png
Promise Akinpelu,promise-akinpelu,Canada,CA,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,2001-07-03,,,true,50,,https://crests.football-data.org/397.png
Charalampos Kostoulas,charalampos-kostoulas,Greece,GR,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,2007-05-30,,,true,50,,https://crests.football-data.org/397.png
Zadok Yohanna,zadok-yohanna,Nigeria,NG,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,2007-06-29,,,true,50,,https://crests.football-data.org/397.png
Rodrigo Rêgo,rodrigo-rego,Portugal,PT,Brighton & Hove Albion FC,PREMIER_LEAGUE,Forward,FORWARD,2005-01-03,,,true,50,,https://crests.football-data.org/397.png
Ellery Balcombe,ellery-balcombe,England,GB,Brentford FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1999-10-15,,,true,50,,https://crests.football-data.org/402.png
Caoimhin Kelleher,caoimhin-kelleher,Ireland,IE,Brentford FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1998-11-23,,,true,50,,https://crests.football-data.org/402.png
Hákon Rafn Valdimarsson,hakon-rafn-valdimarsson,Iceland,IS,Brentford FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2001-10-13,,,true,50,,https://crests.football-data.org/402.png
Matthew Cox,matthew-cox,England,GB,Brentford FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2003-05-02,,,true,50,,https://crests.football-data.org/402.png
Julian Eyestone,julian-eyestone,USA,US,Brentford FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2006-04-21,,,true,50,,https://crests.football-data.org/402.png
Ethan Pinnock,ethan-pinnock,Jamaica,JM,Brentford FC,PREMIER_LEAGUE,Defender,DEFENDER,1993-05-29,,,true,50,,https://crests.football-data.org/402.png
Rico Henry,rico-henry,Jamaica,JM,Brentford FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-07-08,,,true,50,,https://crests.football-data.org/402.png
Sepp van den Berg,sepp-van-den-berg,Netherlands,NL,Brentford FC,PREMIER_LEAGUE,Defender,DEFENDER,2001-12-20,,,true,50,,https://crests.football-data.org/402.png
Kristoffer Ajer,kristoffer-ajer,Norway,NO,Brentford FC,PREMIER_LEAGUE,Defender,DEFENDER,1998-04-17,,,true,50,,https://crests.football-data.org/402.png
Aaron Hickey,aaron-hickey,Scotland,GB,Brentford FC,PREMIER_LEAGUE,Defender,DEFENDER,2002-01-01,,,true,50,,https://crests.football-data.org/402.png
